Kicker,Latent Skill (z),Confidence (σ),Certified Score,Power Rating
L.Hajrullahu,-0.017699163,0.040938266,-0.07910656,29.105434
T.Long,-0.002259188,0.051361583,-0.07930156,28.927595
K.Brindza,-0.01126411,0.045500807,-0.079515316,28.732647
D.Pelfrey,-0.021413868,0.03896256,-0.079857714,28.420378
R.Bullock,-0.0057340534,0.04948299,-0.07995854,28.328423
S.Gostkowski,-0.0048644976,0.050096378,-0.080009066,28.282345
C.Naggar,-0.009422237,0.047319,-0.080400735,27.92514
J.Brown,-0.017369753,0.042135287,-0.08057269,27.76832
G.Hartley,0.0054424065,0.057461243,-0.08074946,27.607103
T.Bertolet,-0.0010116142,0.053451873,-0.08118943,27.205847
C.Oglesby,-0.010617917,0.04716615,-0.08136714,27.043772
B.Maher,-0.013597724,0.045235798,-0.08145142,26.966908
J.Brown,-0.0067188554,0.04991683,-0.081594095,26.836792
J.Tuthill,-0.0075448523,0.04947741,-0.081760965,26.684605
M.Scifres,-0.0071600545,0.049757045,-0.08179562,26.653002
M.Nugent,0.001989316,0.055902503,-0.08186444,26.590235
H. Epstein,-0.0134667875,0.045910485,-0.08233252,26.163342
J.Kasay,-0.010822883,0.047777455,-0.082489066,26.020575
L.Tynes,-0.021342004,0.04077572,-0.082505584,26.00551
R.Cunningham,-0.008929827,0.049188312,-0.08271229,25.81699
J.Wilkins,-0.015216041,0.04517322,-0.082975864,25.57661
D.Rayner,-0.010315997,0.048527904,-0.08310786,25.45623
R.Lindell,-0.013027948,0.046723995,-0.083113946,25.45068
R.Santoso,-0.012149193,0.04733284,-0.08314845,25.419212
D.Akers,-0.01361116,0.046580773,-0.08348232,25.114723
M.McCrane,-0.007296738,0.050902627,-0.08365068,24.961176
O.Mare,-0.010676516,0.048781533,-0.08384882,24.780472
T.Peterson,-0.01771714,0.04409122,-0.08385397,24.775776
S.Ficken,-0.017337682,0.044833876,-0.0845885,24.10588
J.Potter,-0.006296747,0.052426558,-0.08493658,23.788427
B.Coutu,-0.007170175,0.051853105,-0.084949836,23.776339
T.Gowin,-0.012206364,0.048590012,-0.08509138,23.647247
O.Kimrin,-0.016002297,0.046166234,-0.085251644,23.501087
M.Vanderjagt,-0.011116197,0.04957842,-0.08548383,23.289337
J.Cortez,-0.009640805,0.05072475,-0.08572793,23.066713
S.Suisham,-0.010248543,0.050419427,-0.08587769,22.930134
M.Stover,-0.009801057,0.05074609,-0.0859202,22.891363
R.Longwell,-0.011248249,0.04985922,-0.08603707,22.784777
J.Hekker,-0.016551748,0.04633049,-0.086047485,22.775276
A.Pettrey,-0.01195742,0.04961406,-0.086378515,22.473377
A.Franks,-0.025381345,0.040693052,-0.08642092,22.4347
T.Mehlhaff,-0.010919515,0.05060292,-0.086823896,22.067186
T.Coons,-0.016495785,0.04692856,-0.086888626,22.008152
A.Del Greco,-0.008812645,0.05211499,-0.086985126,21.920143
J.Jaeger,-0.012674161,0.049657885,-0.08716099,21.759756
J.Hall,-0.010418737,0.051301125,-0.087370425,21.568748
S.Janikowski,-0.013036694,0.04960922,-0.087450534,21.49569
C.Shudak,-0.007744883,0.053148475,-0.087467596,21.48013
T.Vizcaino,-0.01230542,0.05014982,-0.08753015,21.423079
J.Feely,-0.015324807,0.048212577,-0.087643676,21.319546
M.Gramatica,-0.013876427,0.04955074,-0.088202536,20.809862
M. Husted,-0.021755423,0.04439109,-0.088342056,20.68262
S.Bentley,-0.012268799,0.050828148,-0.08851102,20.528522
J.Lambo,0.0030705766,0.061135374,-0.08863248,20.41775
C.Parkey,-0.01657263,0.048103016,-0.088727154,20.331408
P.Stoyanovich,-0.015311483,0.049007725,-0.088823065,20.243935
C.Blanchard,-0.01526957,0.04913734,-0.08897558,20.104841
N.Johnson,-0.0056538503,0.055624694,-0.08909089,19.999678
J.Reed,-0.019482492,0.046509545,-0.08924681,19.85748
A.Rosas,-0.017663673,0.047842614,-0.08942759,19.692606
S.Christie,-0.018087044,0.04764107,-0.08954865,19.582201
A.Vinatieri,-0.019822715,0.046507016,-0.08958324,19.550652
D.Buehler,-0.019447185,0.046791855,-0.08963497,19.503473
R.Blankenship,-0.009043933,0.053955246,-0.0899768,19.191721
K.Forbath,-0.016820084,0.0490423,-0.09038353,18.820786
C.Hentrich,-0.016092911,0.05005912,-0.09118159,18.092949
