Kicker,Latent Skill (z),Confidence (σ),Certified Score,Power Rating
S.Lechler,-0.008048827,0.050386366,-0.09118633,3.2108996
D.Ogunbowale,-0.00891858,0.049941134,-0.09132145,2.8757544
K.Vedvik,-0.009069753,0.049859308,-0.091337614,2.835672
J.Bates,-0.008316991,0.05032796,-0.091358125,2.7847977
S.Sloman,-0.007482887,0.05084417,-0.09137577,2.741038
J.Brown,-0.008170438,0.05046271,-0.09143391,2.5968235
R.Santoso,-0.0075402088,0.0508448,-0.09143413,2.5962877
J.Karty,-0.00804402,0.050610665,-0.09155162,2.304883
J.McAtamney,-0.008370388,0.050441258,-0.091598466,2.1886837
M.Scifres,-0.008231166,0.05061758,-0.09175017,1.812421
B.Narveson,-0.0075167147,0.051052514,-0.091753356,1.8045118
N.Sciba,-0.007915874,0.051157337,-0.09232548,0.3854839
S.Shrader,-0.009025327,0.050579134,-0.0924809,0.0
