Kicker,Latent Skill (z),Confidence (σ),Certified Score,Power Rating
D.Boyd,-0.010435035,0.049836557,-0.08518987,2.0171466
S.Janikowski,-0.010798227,0.04959939,-0.085197315,2.0058348
L.Tynes,-0.009850571,0.050246283,-0.085219994,1.971367
T.Sauerbrun,-0.009900508,0.05021917,-0.08522926,1.957281
H. Epstein,-0.010478214,0.04983786,-0.08523501,1.9485508
D.Brien,-0.010288797,0.05000926,-0.08530269,1.845691
J.Hall,-0.009633876,0.05045415,-0.0853151,1.8268266
J.Potter,-0.010217947,0.05007532,-0.085330926,1.8027761
J.Taylor,-0.009598413,0.050565865,-0.08544721,1.6260551
T.Seder,-0.009678291,0.050548077,-0.085500404,1.5452075
C.Catanzaro,-0.010171564,0.050235257,-0.08552445,1.5086676
P.Stoyanovich,-0.010228268,0.050350003,-0.08575327,1.1609099
R.Longwell,-0.010382105,0.050277095,-0.08579774,1.0933218
G.Hartley,-0.0099961255,0.05055167,-0.08582363,1.0539737
J.Reed,-0.010352891,0.050398737,-0.085951,0.8604038
J.Chandler,-0.01016156,0.050542913,-0.08597593,0.8225164
J.Hilbert,-0.011150722,0.049897306,-0.08599668,0.7909813
O.Kimrin,-0.010337678,0.05050157,-0.086090036,0.64910173
T.Long,-0.008706913,0.051641867,-0.08616971,0.52801156
N.Rackers,-0.010885321,0.050232083,-0.086233445,0.43115303
R.Lindell,-0.010247617,0.05073234,-0.08634613,0.25990114
C.Blanchard,-0.010979924,0.050358146,-0.08651714,0.0
