Kicker,Latent Skill (z),Confidence (σ),Certified Score,Power Rating
J.Tucker,0.04275929175292422,0.0033450619888834784,0.032724105786273786,99.99999999999999
H.Butker,0.03850338087741681,0.0046140828233962525,0.024661132407228052,90.77269926338025
C.Dicker,0.047386634545814654,0.007876015404160455,0.02375858833333329,89.73982401917765
J.Myers,0.036319724056994455,0.004249802531087669,0.02357031646373145,89.52436489766094
C.Boswell,0.03492470226299637,0.004118133358570864,0.022570302187283776,88.37994434262396
M.Prater,0.029483293378703385,0.0029237071455740743,0.02071217194198116,86.25349225414573
M.Gay,0.03574357653044849,0.005084467040174666,0.02049017540992449,85.99943848669848
G.Gano,0.03130299256192533,0.0036117728127134413,0.020467674123785,85.97368791995228
S.Hauschka,0.031175526255466178,0.0038263337345895232,0.019696525051697607,85.09118166991209
R.Gould,0.027301814583517277,0.0027667811613659985,0.01900147109941928,84.29575899587526
C.McLaughlin,0.03555040004124132,0.005793657185630111,0.018169428484350984,83.34356591845902
D.Carlson,0.031200691086325182,0.00439381111162,0.018019257751465182,83.17170989847303
E.Pineiro,0.03581635072647083,0.006053391669643758,0.01765617571753956,82.75619728772796
J.Kasay,0.0280245612470795,0.0039984091654838684,0.016029333750627893,80.8944324803853
E.McPherson,0.03412473918489095,0.00641580241122567,0.014877331951213942,79.57607676313282
S.Gostkowski,0.023967678820717823,0.0032652145197308437,0.014172035261525292,78.76893225720988
Y.Koo,0.031444729918662755,0.005772338737333511,0.014127713706662222,78.71821048292017
J.Brown,0.02375859830537427,0.0034430757571720805,0.013429371033858028,77.91902418324496
M.Badgley,0.03326055541576113,0.006635375601873494,0.013354428610140648,77.83325975750984
C.Catanzaro,0.030180728780211562,0.005743629402863549,0.012949840571620914,77.37024750007603
T.Bass,0.0293423247821218,0.00556232460880642,0.01265535095570254,77.03323234175336
J.Hanson,0.022863735304327552,0.0037120666755780666,0.011727535277593352,75.97143616711716
B.McManus,0.02386986593676161,0.004141259296322509,0.011446088047794085,75.6493467704691
